----- Legende -----

None: 0
Direkter Zugriff: 1
Div and Conq: 2
Dynamic Program: 3
Branch and Bound: 4
Greedy: 5
Rand Alg: 6


------ old ---------


0,1,1,1,0,1,1,0,3,'Div&Conq'
0,1,1,1,0,1,0,1,3,'DA'
0,1,1,1,0,0,1,0,2,'None'
0,0,1,2,0,0,0,1,1,'None'
0,0,2,2,1,0,0,1,4,'RandAlg'
0,0,3,2,1,0,0,1,4,'RandAlg'
0,0,1,2,0,1,0,1,1,'None'
0,0,1,2,0,0,1,1,1,'None'
0,1,3,2,0,0,1,1,4,'DynProg'
0,1,3,2,0,1,1,0,3,'Div&Conq'
0,0,3,2,0,1,1,0,3,'Div&Conq'
0,1,3,1,0,1,0,1,4,'B&B'
0,1,4,1,1,0,1,1,4,'Greedy'
0,1,2,2,0,1,1,1,4,'Greedy'
0,0,0,0,0,0,0,1,0,'None'
0,1,1,1,0,1,1,1,3,'DA'
0,0,0,0,0,1,0,1,0,'None'
0,0,0,0,0,1,1,0,0,'None'
0,1,3,2,0,1,0,1,4,'B&B'
0,1,4,2,0,0,1,1,4,'DynProg'
0,1,1,1,0,0,0,1,2,'None'
0,1,2,1,0,1,0,1,3,'DA'
0,1,1,1,0,1,1,0,2,'None'
0,1,3,1,0,1,1,0,3,'Div&Conq'
2,0,0,0,0,1,1,1,4,'DynProg'
3,0,0,0,0,1,1,1,4,'DynProg'
0,0,1,1,0,1,1,0,3,'Div&Conq'
0,0,4,1,0,1,1,0,3,'Div&Conq'
0,1,1,1,0,1,0,0,2,'None'
0,1,1,1,0,1,0,1,2,'None'
2,0,0,0,0,0,1,1,4,'DynProg'
3,0,0,0,0,0,1,1,4,'DynProg'
0,0,3,1,0,1,1,0,3,'Div&Conq'
0,1,4,1,0,1,1,0,3,'Div&Conq'
0,1,2,1,0,0,1,1,4,'DynProg'
0,1,3,1,0,0,1,1,4,'DynProg'
0,1,1,2,0,1,1,0,3,'Div&Conq'
0,0,1,2,0,1,1,1,1,'None'
1,1,3,1,0,1,1,1,3,'DA'
0,1,4,2,0,1,1,0,3,'Div&Conq'
0,0,4,2,0,1,1,0,3,'Div&Conq'
0,1,3,1,0,1,0,1,3,'DA'
0,1,1,1,0,0,0,0,2,'None'
0,0,1,2,0,0,0,0,1,'None'
0,1,1,1,0,0,1,1,2,'None'
0,1,2,1,0,1,1,0,3,'Div&Conq'
0,0,2,1,0,1,1,0,3,'Div&Conq'
0,0,0,0,0,0,1,1,4,'DynProg'
0,1,2,1,0,1,1,1,3,'DA'
0,0,1,2,0,1,0,0,1,'None'
0,0,1,2,0,0,1,0,1,'None'
0,0,1,2,0,1,1,0,3,'Div&Conq'
0,0,1,2,0,1,1,0,1,'None'
0,1,3,2,0,1,1,1,4,'DynProg'
0,1,2,1,1,1,1,1,4,'Greedy'
0,1,3,1,1,1,1,1,4,'Greedy'
0,1,4,2,0,1,1,1,4,'DynProg'
0,0,1,2,1,0,0,1,4,'RandAlg'
0,1,4,1,0,0,1,1,4,'DynProg'
0,1,3,1,0,1,1,1,4,'Greedy'
0,1,4,1,0,1,1,1,4,'Greedy'
0,1,2,2,0,0,1,1,4,'DynProg'
0,1,2,2,0,1,1,1,4,'DynProg'
0,0,2,2,1,1,0,1,4,'RandAlg'
0,1,3,2,1,0,1,1,4,'Greedy'
0,1,2,2,0,1,1,0,3,'Div&Conq'
0,0,2,2,0,1,1,0,3,'Div&Conq'
0,1,4,2,1,0,1,1,4,'Greedy'
0,0,3,2,1,1,0,1,4,'RandAlg'
0,0,4,2,1,1,0,1,4,'RandAlg'
0,1,3,1,0,1,1,1,4,'B&B'
0,1,4,2,0,0,1,1,4,'Greedy'
0,1,2,1,0,0,1,1,4,'Greedy'
0,1,1,1,0,1,1,1,2,'None'
0,1,3,1,0,0,1,1,4,'Greedy'
0,1,3,2,0,1,1,1,4,'B&B'
0,1,2,2,0,0,1,1,4,'Greedy'
0,1,3,2,0,0,1,1,4,'Greedy'
1,0,0,0,0,1,1,1,4,'DynProg'
0,1,2,1,0,1,1,1,4,'DynProg'
0,0,4,2,1,0,0,1,4,'RandAlg'
0,0,1,2,1,1,0,1,4,'RandAlg'
0,1,4,1,0,0,1,1,4,'Greedy'
0,1,3,1,0,1,1,1,4,'DynProg'
0,1,4,1,0,1,1,1,4,'DynProg'
0,1,2,2,1,0,1,1,4,'Greedy'
0,1,4,2,0,1,1,1,4,'Greedy'
0,0,0,0,0,1,0,0,0,'None'
